,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Reggie Bullock,44:23,6.0,11.0,54.5,6.0,10.0,60.0,3.0,3.0,100.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,4.0,21.0,-7.0,05/20/2022,30.25
Dorian Finney-Smith,42:14,3.0,6.0,50.0,3.0,6.0,50.0,1.0,4.0,25.0,2.0,6.0,8.0,2.0,0.0,1.0,2.0,2.0,10.0,0.0,05/20/2022,25.5
Dwight Powell,7:49,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,05/20/2022,2.5
Jalen Brunson,36:23,11.0,19.0,57.9,5.0,7.0,71.4,4.0,6.0,66.7,0.0,7.0,7.0,5.0,0.0,0.0,2.0,3.0,31.0,2.0,05/20/2022,48.75
Luka Doncic,38:11,12.0,23.0,52.2,5.0,10.0,50.0,13.0,15.0,86.7,0.0,5.0,5.0,8.0,3.0,1.0,2.0,3.0,42.0,-12.0,05/20/2022,69.75
Maxi Kleber,33:06,1.0,5.0,20.0,1.0,5.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,4.0,3.0,-20.0,05/20/2022,12.25
Spencer Dinwiddie,22:07,2.0,6.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,1.0,4.0,2.0,4.0,-8.0,05/20/2022,15.25
Frank Ntilikina,3:32,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-10.0,05/20/2022,0.0
Davis Bertans,7:14,2.0,3.0,66.7,1.0,2.0,50.0,1.0,1.0,100.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,6.0,7.0,05/20/2022,10.5
Josh Green,5:01,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,05/20/2022,1.25
