,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
 Kene Nwangwu ,32.2,18,579,2,14,3,99,0,0
 Andy Isabella ,31,1,31,0,1,0,31,0,0
 Braxton Berrios ,30.4,28,852,1,24,3,102,0,0
 Ty Montgomery ,29.5,2,59,0,2,0,33,0,0
 Chris Evans ,29,2,58,0,2,0,29,0,0
 Tevin Coleman ,28.8,11,317,0,8,1,65,0,0
 Tony Pollard ,28.8,17,489,1,13,2,100,0,0
 Alex Erickson ,28.5,2,57,0,1,0,39,0,0
 Jason Huntley ,28,3,84,0,3,0,35,0,0
 Andre Roberts ,27.3,37,1010,1,23,4,101,0,1
 Matt Breida ,27,1,27,0,1,0,27,0,0
 D'Wayne Eskridge ,27,2,54,0,2,0,27,0,0
 Desmond King ,27,1,27,0,1,0,27,0,0
 Artavis Pierce ,27,1,27,0,1,0,27,0,0
 Isaiah Rodgers ,26.4,19,501,0,13,4,72,0,0
 Brandon Powell ,26,8,208,0,4,1,65,0,0
 Byron Pringle ,25.9,24,621,0,20,0,39,0,0
 Ashton Dulin ,25.8,8,206,0,7,0,31,0,0
 Tremon Smith ,25.6,21,537,1,13,2,98,0,0
 DeAndre Carter ,25.1,36,904,1,25,1,101,0,1
 Mike Hughes ,25,1,25,0,1,0,25,0,0
 Deebo Samuel ,25,3,75,0,2,0,33,0,0
 J.J. Taylor ,25,1,25,0,1,0,25,0,0
 Godwin Igwebuike ,24.9,28,697,0,21,2,47,0,1
 C.J. Board ,24.8,11,273,0,9,0,38,0,1
